Plot no,AMF comp,Altitudes(m),Disturbances,Cupressus lusitanica,Tabernaemontana stapfiana ,Alangium chinense,Albizia gummifera ,Millettia oblata subsp. teitensis,Oxyanthus speciosis,Allophylus abyssinicus,Grevillea robusta,Cyathea manniana,Polyscias fulva,Ficus thonningii,Ficus sycomorus ,Maesopsis eminii,Dicranolepis usambarica,Pleiocarpa pycnantha,Newtonia buchananii,Xymalos monospora,Sygizium guinense,Leptonychia usambarensis,Macaranga conglomerata,Dasylepis integra,Craibia zimmermannii ,Strombosia scheffleri,Psychotria lauracea,Ficus sur,Lepidotrichilia volkensii,Rourea thomsonii,Turraea holstii,Chrysophyllum gorungosanum,Cola greenwayi,Trema orientalis,Ekebergia capensis,Psychotria petitii,Cussonia spicata,Sorindeia madagascariensis,Margaritaria discoidea,Ochna holstii,Garcinia volkensii,Drypetes gerrardii,Phoenix reclinata,Ritchiea albersii,Vangueria volkensii var. volkensii,Anthocleista grandiflora,Rapanea melanophloeos,Vepris nobilis,Buddleja purchella,Morella salicifolia,Lasianthus,Podocarpus fulcatus,Croton megalocarpus,Apphloia therformis,Psychotria pseudoplatyphylla,Maesa lanceolata
CH1,246,1577,moderate,5,18,1,1,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH2,410,1554,low,8,20,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH3,231,1588,low,0,7,0,1,0,0,0,0,0,1,0,0,0,0,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH4,204,1589,low,2,18,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH5,170,1614,low,0,6,0,0,2,0,0,0,0,3,0,0,0,0,0,10,0,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH6,131,1569,low,0,1,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0,5,1,0,10,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH7,71,1569,none,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,5,0,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH8,378,1594,intense,4,7,0,2,1,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH9,332,1507,none,0,2,0,4,2,0,0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH10,176,1584,moderate,0,6,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
CH11,154,1550,moderate,0,3,0,0,22,0,0,0,0,0,3,1,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CH12,610,1584,moderate,1,12,0,1,0,10,0,0,0,2,0,0,0,0,0,0,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
NG1,303,1751,low,0,5,0,20,16,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
NG2,302,1787,low,0,3,0,2,2,2,0,0,0,1,0,0,0,0,0,2,0,0,4,0,3,5,2,3,0,2,0,0,0,4,0,0,0,0,0,0,2,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0
